BRITE-AUSTRIA;39091;;145.890/437.365;2234.400 ;32Kbps-256Kbps BPSK;;inactive
BRITE-PL;39431;;437.365/2234.400;145.890 ;32Kbps-256Kbps;;inactive
BRO-1;44495;;;;;;unknown
BRO-2;46940;;;;;;unknown
BRO-3;46944;;;;;;unknown
BRO-4;49066;;401.735 ;;9600bps FSK;;active
BRO-5;51061;;401.735 ;;4800bps FSK;;inactive
BRO-6;52422;;401.735 ;;9600bps FSK;;active
BRO-7;52174;;401.735 ;;9600bps FSK;;active
BRO-8;55011;;401.735 ;;9600bps FSK;;active
BSUSat-1;43666;436.200 ;436.200/436.990*;;4k8/9k6* GMSK Digipeater;EU10S;active
BugSat-1;40014;;437.445 ;;9600bps GMSK;LU7AA;active
BY70-1;41909;145.920 ;436.200 ;;9600bps BPSK FM tone 67.0Hz;;re-entered
BY70-2;45857;;436.200 ;;9600bps BPSK;;active
BY70-3;46839;;437.600 ;;9600bps BPSK;NPUBY3;active
CADRE;41475;;437.485/3404.000;;9600bps GMSK 1Mbit OQPSK;;re-entered
CAERUS;;;437.600 ;;1200bps AFSK;KJ6FIX-1;unknown
CANX-1;27847;;437.880 ;;1200bps AFSK;VA3SFL;inactive
CANX-2;32790;;437.478 ;;GMSK;VA3SFL;inactive
CANX-2;32790;;2200.000/2407.650;;32Kbps-256Kbps BPSK;VA3SFL;inactive
CANX-3A;39092;;145.890 ;145.890 ;CW;;inactive
CANX-3B;39091;;145.890/437.365;2234.400 ;32Kbps-256Kbps BPSK;;inactive
CANX-4;40055;;145.890/2234.400;437.365 ;32Kbps-256Kbps BPSK;;inactive
CANX-5;40056;;145.890/2234.400;437.365 ;32Kbps-256Kbps BPSK;;inactive
Canyval-X 1/2;;;435.000 ;435.000 ;9600bps MSK;;unknown
CANYVAL-C1;;;436.330 ;;4800bps GMSK;;unknown
CANYVAL-C2;;;437.500 ;;4800bps GMSK;;unknown
CAPE-1;31130;;435.245 ;435.248 ;1200bps AFSK;K5USL;inactive
CAPE-2;39382;145.825 ;145.822/437.325;145.825 ;1200bps AFSK CW Voice;W5UL-15;re-entered
CAPE-3;47309;;145.825/437.325*;;1k2*AFSK 9k6 FSK;W5UL-11;active
CapSat-1;;;;;;;unknown
CAS-1;36122;145.925-145.975;435.765-435.715;;SSB inverting;BJ1SA-11 12;inactive
CAS-1;36122;145.825 ;435.675 ;;FM tone 67Hz;;inactive
CAS-1;36122;;;435.790 ;CW;BJ1SA;active
CAS-2A1/2A2;;;;;;;unknown
CAS-2T;41847;145.925 ;435.615 ;435.710 ;FM CW*;CAS2T;active
CAS-3A;40903;435.030-435.050;145.685-145.665;145.640/145.660;9k6/19k2 GMSK/CW*;BJ1SB;active
CAS-3B;40911;435.090-435.110;145.750-145.730;145.705/145.725;9k6/19k2 GMSK/CW*;BJ1SC;active
CAS-3C;40906;435.150-435.170;145.815-145.795;145.770/145.790;9k6/19k2 GMSK/CW*;BJ1SD;active
CAS-3D;40907;435.210-435.230;145.880-145.860;145.835/145.855;9k6/19k2 GMSK/CW*;BJ1SE;active
CAS-3E;40909;435.270-435.290;145.935-145.915;145.890/145.910;9k6 GMSK/CW*;BJ1SF;active
CAS-3F;40910;435.330-435.350;146.000-145.980;145.955/145.975;9k6 GMSK/CW*;BJ1SG;active
CAS-3G;40912;;145.475*/437.950;;9k6* GMSK;BJ1SH;active
CAS-3H;40908;144.350/144.390;144.390/437.225*;437.200;1k2/4k8/9k6* AFSK/GFSK;BJ1SI;active
CAS-3I;40900;;437.300;;9k6 GFSK;BJ1SJ;active
CAS-4A;42761;435.210-435.230;145.880-145.860;;SSB*;;active
CAS-4A;42761;;145.835 ;145.855 ;4800bps GMSK CW;BJ1SK;active
CAS-4B;42759;435.270-435.290;145.935-145.915;;SSB*;;active
CAS-4B;42759;;145.890 ;145.910 ;4800bps GMSK CW;BJ1SL;active
CAS-5A;54684;145.820 ;435.540 ;;VHF/UHF SSB bandwidth 30kHz;;active
